iter	Passed	Remaining
521	884	810
522	885	807
523	886	805
524	887	803
525	889	801
526	890	799
527	891	796
528	892	794
529	893	792
530	894	790
531	895	787
532	896	785
533	897	783
534	898	781
535	899	778
536	900	776
537	901	774
538	902	771
539	903	769
540	904	767
541	905	765
542	906	762
543	907	760
544	908	758
545	909	756
546	910	754
547	911	752
548	912	749
549	913	747
550	914	745
551	915	743
552	916	741
553	917	738
554	918	736
555	919	734
556	920	732
557	921	730
558	923	728
559	924	726
560	925	724
561	926	722
562	927	719
563	928	717
564	929	715
565	930	713
566	931	711
567	932	708
568	933	706
569	934	704
570	934	702
571	935	700
572	936	698
573	937	696
574	938	693
575	939	691
576	940	689
577	941	687
578	942	685
579	943	683
580	944	680
581	945	678
582	946	676
583	947	674
584	948	672
585	949	670
586	949	668
587	951	666
588	952	664
589	953	662
590	953	660
591	954	658
592	956	656
593	957	654
594	958	652
595	959	650
596	960	648
597	960	646
598	961	643
599	962	641
600	963	639
601	964	637
602	965	635
603	966	633
604	967	631
605	968	629
606	969	627
607	970	625
608	971	623
609	972	621
610	972	619
611	973	617
612	974	615
613	975	613
614	976	611
615	977	609
616	978	607
617	979	605
618	980	603
619	981	601
620	982	599
621	983	597
622	984	595
623	985	593
624	985	591
625	986	589
626	987	587
627	988	585
628	989	583
629	990	581
630	991	579
631	992	577
632	992	575
633	993	573
634	994	571
635	995	569
636	996	567
637	997	565
638	998	563
639	998	561
640	999	559
641	1000	557
642	1001	556
643	1002	554
644	1003	552
645	1004	550
646	1004	548
647	1005	546
648	1006	544
649	1007	542
650	1008	540
651	1009	538
652	1010	536
653	1011	534
654	1011	533
655	1012	531
656	1013	529
657	1014	527
658	1015	525
659	1016	523
660	1017	521
661	1018	519
662	1019	517
663	1019	516
664	1020	514
665	1021	512
666	1022	510
667	1023	508
668	1024	506
669	1025	504
670	1026	503
671	1027	501
672	1028	499
673	1028	497
674	1029	495
675	1030	493
676	1031	492
677	1032	490
678	1033	488
679	1034	486
680	1035	484
681	1036	483
682	1037	481
683	1037	479
684	1038	477
685	1039	475
686	1040	474
687	1041	472
688	1042	470
689	1043	468
690	1044	466
691	1044	465
692	1045	463
693	1046	461
694	1047	459
695	1048	457
696	1049	456
697	1050	454
698	1051	452
699	1052	450
700	1052	449
701	1053	447
702	1054	445
703	1055	443
704	1056	442
705	1057	440
706	1058	438
707	1059	436
708	1060	435
709	1061	433
710	1062	431
711	1063	430
712	1064	428
713	1064	426
714	1065	424
715	1066	423
716	1067	421
717	1068	419
718	1069	417
719	1070	416
720	1071	414
721	1072	412
722	1073	411
723	1073	409
724	1074	407
725	1075	405
726	1076	404
727	1077	402
728	1078	400
729	1079	399
730	1080	397
731	1081	395
732	1081	394
733	1082	392
734	1084	390
735	1085	389
736	1086	387
737	1087	385
738	1088	384
739	1088	382
740	1089	380
741	1091	379
742	1091	377
743	1092	376
744	1093	374
745	1094	372
746	1095	371
747	1096	369
748	1097	367
749	1098	366
750	1098	364
751	1099	362
752	1100	361
753	1101	359
754	1102	357
755	1103	356
756	1104	354
757	1105	352
758	1105	351
759	1106	349
760	1107	347
761	1108	346
762	1109	344
763	1111	343
764	1111	341
765	1112	339
766	1114	338
767	1114	336
768	1115	335
769	1117	333
770	1119	332
771	1120	330
772	1121	329
773	1123	327
774	1124	326
775	1125	324
776	1126	323
777	1127	321
778	1128	320
779	1129	318
780	1129	316
781	1130	315
782	1131	313
783	1133	312
784	1135	310
785	1136	309
786	1137	307
787	1138	306
788	1139	304
789	1140	303
790	1141	301
791	1142	300
792	1144	298
793	1145	297
794	1146	295
795	1148	294
796	1149	292
797	1151	291
798	1154	290
799	1156	289
800	1158	287
801	1159	286
802	1160	284
803	1162	283
804	1163	281
805	1165	280
806	1166	278
807	1167	277
808	1168	275
809	1169	274
810	1170	272
811	1171	271
812	1172	269
813	1173	268
814	1174	266
815	1175	265
816	1176	263
817	1177	262
818	1178	260
819	1179	259
820	1180	257
821	1182	255
822	1183	254
823	1184	252
824	1185	251
825	1186	249
826	1187	248
827	1188	246
828	1189	245
829	1190	243
830	1191	242
831	1192	240
832	1193	239
833	1194	237
834	1195	236
835	1196	234
836	1198	233
837	1199	231
838	1200	230
839	1201	228
840	1202	227
841	1203	225
842	1204	224
843	1205	222
844	1206	221
845	1207	219
846	1208	218
847	1209	216
848	1210	215
849	1211	213
850	1212	212
851	1213	210
852	1214	209
853	1215	207
854	1216	206
855	1218	204
856	1219	203
857	1220	201
858	1221	200
859	1222	198
860	1223	197
861	1224	195
862	1225	194
863	1226	193
864	1227	191
865	1228	190
866	1229	188
867	1230	187
868	1231	185
869	1232	184
870	1233	182
871	1234	181
872	1236	179
873	1237	178
874	1238	176
875	1240	175
876	1241	174
877	1242	172
878	1243	171
879	1244	169
880	1245	168
881	1246	166
882	1247	165
883	1248	163
884	1249	162
885	1250	160
886	1251	159
887	1252	158
888	1254	156
889	1255	155
890	1255	153
891	1256	152
892	1257	150
893	1258	149
894	1259	147
895	1260	146
896	1261	144
897	1262	143
898	1263	141
899	1264	140
900	1265	139
901	1266	137
902	1267	136
903	1268	134
904	1269	133
905	1270	131
906	1272	130
907	1273	128
908	1274	127
909	1275	126
910	1276	124
911	1277	123
912	1278	121
913	1279	120
914	1280	118
915	1281	117
916	1282	116
917	1283	114
918	1283	113
919	1284	111
920	1285	110
921	1286	108
922	1287	107
923	1289	106
924	1290	104
925	1291	103
926	1293	101
927	1294	100
928	1295	99
929	1297	97
930	1298	96
931	1299	94
932	1300	93
933	1302	92
934	1303	90
935	1304	89
936	1305	87
937	1306	86
938	1307	84
939	1308	83
940	1309	82
941	1310	80
942	1312	79
943	1313	77
944	1314	76
945	1315	75
946	1316	73
947	1317	72
948	1318	70
949	1319	69
950	1320	68
951	1321	66
952	1322	65
953	1323	63
954	1324	62
955	1325	61
956	1326	59
957	1327	58
958	1328	56
959	1329	55
960	1330	53
961	1331	52
962	1332	51
963	1333	49
964	1334	48
965	1335	46
966	1336	45
967	1337	44
968	1338	42
969	1339	41
970	1340	40
971	1341	38
972	1342	37
973	1343	35
974	1344	34
975	1345	33
976	1346	31
977	1347	30
978	1348	28
979	1349	27
980	1351	26
981	1352	24
982	1353	23
983	1353	22
984	1355	20
985	1356	19
986	1357	17
987	1358	16
988	1359	15
989	1360	13
990	1361	12
991	1362	10
992	1363	9
993	1364	8
994	1365	6
995	1366	5
996	1367	4
997	1368	2
998	1368	1
999	1369	0
